	 181759
cytoplasmic membrane-bounded vesicle lumen	 1
aldo-keto reductase (NADP) activity	 8
macrocin O-methyltransferase activity	 2
regulation of cytokinesis	 26
mitochondrial large ribosomal subunit	 2
actomyosin contractile ring	 3
regulation of epithelial cell proliferation involved in prostate gland development	 9
progesterone metabolic process	 1
bleb assembly	 5
negative regulation of DNA binding	 5
maltose transmembrane transporter activity	 1
dihydrolipoyllysine-residue acetyltransferase activity	 38
MSL complex	 1
fin regeneration	 5
monoubiquitinated protein deubiquitination	 1
peptidyl-lysine hydroxylation to 5-hydroxy-L-lysine	 1
peptidyl-glutamic acid carboxylation	 4
interferon-gamma receptor binding	 2
eye pigment granule organization	 2
regulation of mRNA splicing, via spliceosome	 2
pronephros development	 22
cell cycle arrest	 77
IMP biosynthetic process	 13
D-lyxose ketol-isomerase activity	 3
B cell lineage commitment	 8
progesterone biosynthetic process	 1
negative regulation of synaptic vesicle fusion to presynaptic membrane	 5
negative regulation of fat cell differentiation	 12
6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1 complex	 1
mitogen-activated protein kinase kinase binding	 7
selenocysteine incorporation	 5
intracellular cGMP activated cation channel activity	 3
intermediate filament cytoskeleton organization	 1
glycolipid mannosyltransferase activity	 2
actomyosin structure organization	 10
pharyngeal pumping	 5
negative regulation of cytokine production	 2
carbon fixation	 33
heterochromatin organization involved in chromatin silencing	 2
RNA-directed RNA polymerase activity	 33
peptide disulfide oxidoreductase activity	 1
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	 14
ribosomal protein S6 kinase activity	 3
peribacteroid membrane	 1
positive regulation of intracellular steroid hormone receptor signaling pathway	 2
hydrolase activity, acting on acid halide bonds, in C-halide compounds	 6
platelet dense granule membrane	 11
delta24-sterol reductase activity	 2
DNA polymerase binding	 3
positive regulation of R7 cell differentiation	 1
female pregnancy	 11
hydrogen ion channel activity	 4
kynurenine-glyoxylate transaminase activity	 2
oligosaccharyl transferase activity	 22
establishment or maintenance of microtubule cytoskeleton polarity	 7
undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase activity	 8
double-stranded RNA binding	 52
vegetative to reproductive phase transition of meristem	 10
riboflavin kinase activity	 10
cardiac muscle hypertrophy in response to stress	 1
cell periphery	 3
methylmalonyl-CoA carboxytransferase activity	 3
aconitate hydratase activity	 26
transferase activity, transferring alkyl or aryl (other than methyl) groups	 62
hermaphrodite genitalia development	 40
protein phosphatase binding	 43
positive regulation of interleukin-6 biosynthetic process	 6
signal sequence binding	 3
response to molecule of bacterial origin	 1
MyD88-dependent toll-like receptor signaling pathway	 81
determination of left/right symmetry	 87
mitochondrial chromosome	 1
multicellular organismal reproductive process	 9
acetoacetic acid metabolic process	 1
synaptic vesicle endocytosis	 10
adenosylcobinamide kinase activity	 6
diphosphomevalonate decarboxylase activity	 14
cleavage furrow	 22
neuropeptide signaling pathway	 183
positive regulation of canonical Wnt receptor signaling pathway	 32
positive thymic T cell selection	 2
sn-glycerol-3-phosphate:ubiquinone-8 oxidoreductase activity	 5
cAMP biosynthetic process	 50
heterotrimeric G-protein complex	 19
positive regulation of T cell activation	 25
positive regulation of endothelial cell migration	 6
dopamine beta-monooxygenase activity	 35
apical junction complex	 2
mitochondrial fission	 3
DNA-dependent transcription, initiation	 80
drug transmembrane transport	 61
condensed chromosome, centromeric region	 2
9-cis-retinoic acid biosynthetic process	 1
positive regulation of cell growth	 21
nuclear lumen	 1
cobalamin 5'-phosphate synthase activity	 5
age-dependent response to reactive oxygen species involved in chronological cell aging	 1
succinate transport	 3
negative regulation of telomere maintenance via telomerase	 1
pyramidal neuron development	 4
dioxygenase activity	 2
viral entry into host cell via membrane fusion with the plasma membrane	 5
beta-lactam antibiotic catabolic process	 1
regulation of actin filament polymerization	 17
adenosylhomocysteinase activity	 16
inositol biosynthetic process	 3
acylglycerol homeostasis	 4
regulation of canonical Wnt receptor signaling pathway	 18
drug transport	 17
anatomical structure regression	 8
high-density lipoprotein particle	 9
internal peptidyl-lysine acetylation	 2
response to estradiol stimulus	 24
endosome to lysosome transport via multivesicular body sorting pathway	 3
retinol metabolic process	 5
neuronal action potential propagation	 1
wound healing, spreading of epidermal cells	 3
response to acid	 16
negative regulation of centriole replication	 2
Notch signaling pathway	 117
urocanate hydratase activity	 13
prostate gland stromal morphogenesis	 1
macrophage colony-stimulating factor receptor activity	 1
polyamine-transporting ATPase activity	 38
cell-cell junction assembly	 4
GTPase activity	 506
positive regulation of dopamine receptor signaling pathway	 4
sperm entry	 3
synaptic vesicle maturation	 4
phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase activity	 7
cellular response to oleic acid	 2
mature ribosome assembly	 7
N-terminal protein amino acid modification	 3
microtubule minus-end binding	 1
histone pre-mRNA DCP binding	 3
chromatoid body	 7
hematopoietic stem cell differentiation	 4
alpha-actinin binding	 66
urea carboxylase activity	 1
spindle organization	 12
negative regulation of transporter activity	 5
meiotic prophase I	 7
tRNA (guanine-N7-)-methyltransferase activity	 4
synaptonemal complex assembly	 3
regulation of cysteine-type endopeptidase activity involved in apoptotic process	 6
virion	 11
organic cation transmembrane transporter activity	 2
tyrosine decarboxylase activity	 3
positive regulation of Rho protein signal transduction	 4
squalene synthase activity	 3
UDP-N-acetylglucosamine 1-carboxyvinyltransferase activity	 9
oocyte maturation	 10
extracellular matrix structural constituent conferring tensile strength	 4
compound eye pigmentation	 2
peptidyl-cysteine methylation	 2
forward locomotion	 33
response to growth factor stimulus	 1
regulation of Rap GTPase activity	 2
thymidylate kinase activity	 10
acetyl-CoA carboxylase complex	 17
beta-galactosidase complex	 32
random inactivation of X chromosome	 1
3-phosphoshikimate 1-carboxyvinyltransferase activity	 10
positive regulation of nurse cell apoptotic process	 1
tube development	 3
microvillus membrane	 10
nitric oxide metabolic process	 13
laminin receptor activity	 1
lysosome organization	 41
positive regulation of homocysteine metabolic process	 7
positive regulation of interferon-gamma production	 2
endochondral ossification	 8
hippurate hydrolase activity	 4
sensory perception of pain	 15
cytokine production involved in immune response	 11
chloroplast thylakoid membrane	 96
3'-tRNA processing endoribonuclease activity	 1
DNA ligation involved in DNA repair	 12
lamellocyte differentiation	 1
oxidoreductase activity, acting on the CH-NH group of donors, oxygen as acceptor	 1
regulation of protein metabolic process	 5
1,3-beta-glucanosyltransferase activity	 1
respiratory burst involved in defense response	 1
laminin binding	 5
mannokinase activity	 1
soft palate development	 3
threonine catabolic process	 3
norepinephrine biosynthetic process	 4
dihydrolipoamide metabolic process	 2
UDP-glucose 4-epimerase activity	 11
defecation	 3
positive regulation of epithelial cell migration	 5
ligase activity, forming aminoacyl-tRNA and related compounds	 82
meiotic spindle organization	 3
copper-exporting ATPase activity	 40
carbohydrate biosynthetic process	 30
sphingomyelin metabolic process	 2
cellular metal ion homeostasis	 2
xanthophyll cycle	 1
chaeta morphogenesis	 10
actin rod assembly	 5
sperm capacitation	 3
filopodium	 33
transport vesicle	 26
sulfate transmembrane transporter activity	 11
tRNA aminoacylation for protein translation	 363
protein metabolic process	 149
NADPH dehydrogenase activity	 4
contact inhibition	 5
conidium formation	 1
lipoprotein metabolic process	 26
ISG15-protein conjugation	 1
respiratory tube development	 60
response to trehalose stimulus	 1
tryptophan-tRNA ligase activity	 17
establishment of meiotic spindle localization	 2
importin-alpha export receptor activity	 4
rRNA export from nucleus	 7
positive regulation of actin filament polymerization	 12
misfolded or incompletely synthesized protein catabolic process	 4
eye photoreceptor cell differentiation	 1
larval locomotory behavior	 4
DNA topoisomerase type I activity	 62
apolipoprotein binding	 25
positive regulation of JAK-STAT cascade	 1
glutathione import into vacuole	 1
glucosamine-1-phosphate N-acetyltransferase activity	 8
mRNA polyadenylation	 22
sulfur amino acid metabolic process	 3
tryptophan synthase activity	 25
regulation of JAK-STAT cascade	 8
monolayer-surrounded lipid storage body	 1
transcription factor TFIID complex	 11
cellular response to vitamin	 1
lymphocyte homeostasis	 1
ubiquitin binding	 22
propionate catabolic process	 8
nucleoside metabolic process	 251
phagocytic vesicle	 6
GTPase activator activity	 75
mitochondrial ribosome	 2
gluconate 5-dehydrogenase activity	 5
oligopeptide transporter activity	 14
minus-end directed microfilament motor activity	 3
Atg12 ligase activity	 1
septin complex	 2
negative regulation of macrophage apoptotic process	 10
caspase complex	 4
extracellular space	 321
fungal-type cell wall biogenesis	 5
DNA ligation	 8
complement activation, classical pathway	 3
mRNA (nucleoside-2'-O-)-methyltransferase activity	 6
chitin synthase activity	 1
sodium channel regulator activity	 2
DNA strand renaturation	 16
delta12-fatty acid dehydrogenase activity	 1
plasma membrane proton-transporting ATP synthase complex, catalytic core F(1)	 1
cleavage involved in rRNA processing	 1
insulin-responsive compartment	 5
nucleobase transmembrane transporter activity	 4
CD40 receptor binding	 9
ethylene mediated signaling pathway	 3
endoplasmic reticulum quality control compartment	 1
positive regulation of calcium ion-dependent exocytosis	 2
positive regulation of developmental growth	 1
cationic amino acid transmembrane transporter activity	 3
aquacobalamin reductase (NADPH) activity	 6
histone H2B ubiquitination	 3
inositol oxygenase activity	 6
negative regulation of intracellular estrogen receptor signaling pathway	 1
response to virus	 69
cyclin-dependent protein serine/threonine kinase inhibitor activity	 7
spindle pole centrosome	 1
amidase activity	 20
growth hormone receptor binding	 1
alpha-catenin binding	 10
DNA-dependent transcription, termination	 36
hemocyte development	 1
glutathione transport	 1
7S RNA binding	 15
K63-linked polyubiquitin binding	 2
single-stranded telomeric DNA binding	 1
fructose 6-phosphate metabolic process	 2
all-trans-retinol 13,14-reductase activity	 2
acetylcholine-activated cation-selective channel activity	 4
positive regulation of actin nucleation	 1
collagen type XII	 2
chloride peroxidase activity	 6
elevation of mitochondrial calcium ion concentration	 5
pantetheine hydrolase activity	 3
butyrate-CoA ligase activity	 1
mRNA (guanine-N7-)-methyltransferase activity	 5
maintenance of organ identity	 18
peripheral nervous system axon regeneration	 4
uropod	 4
UV protection	 19
microtubule cytoskeleton organization involved in establishment of planar polarity	 4
secretion of lysosomal enzymes	 1
cellular bud neck contractile ring	 1
L-gulono-1,4-lactone dehydrogenase activity	 1
mRNA 3'-end processing	 10
negative regulation of NFAT protein import into nucleus	 1
tyrosine metabolic process	 9
CD40 signaling pathway	 1
JUN kinase activity	 4
secondary growth	 1
positive regulation of interleukin-8 production	 6
sperm mitochondrion organization	 1
regulation of retinal cell programmed cell death	 3
iron-responsive element binding	 1
protein disulfide isomerase activity	 49
calcium ion transport into cytosol	 15
alpha-ketoacid dehydrogenase activity	 2
host cell cytoplasm	 8
double-stranded RNA adenosine deaminase activity	 4
apoptotic chromosome condensation	 4
efferent axon development in posterior lateral line nerve	 1
potassium ion transmembrane transporter activity	 4
peroxiredoxin activity	 29
