KEGG Pathways	Number of Occurences
"(Xylene degradation (map00622), dehydrogenase (NAD+) (ec:1.2.1.28))"	1
"(Riboflavin metabolism (map00740), synthetase (ec:2.7.7.2))"	1
"(Pentose and glucuronate interconversions (map00040), xylulokinase (phosphorylating) (ec:2.7.1.17))"	1
"(Terpenoid backbone biosynthesis (map00900), Delta-isomerase (ec:5.3.3.2))"	1
"(Fatty acid metabolism (map00071), isomerase (ec:5.3.3.8))"	1
"(Starch and sucrose metabolism (map00500), 4-epimerase (ec:5.1.3.6))"	1
"(Biotin metabolism (map00780), synthase (ec:2.8.1.6))"	1
"(Histidine metabolism (map00340), hydratase (ec:4.2.1.49))"	1
"(Sphingolipid metabolism (map00600), N-acyltransferase (ec:2.3.1.24))"	1
"(Fatty acid biosynthesis (map00061), hydrolase (ec:3.1.2.14))"	1
"(Sulfur metabolism (map00920), sulfotransferase (ec:2.8.2.1))"	1
"(Glycine, serine and threonine metabolism (map00260), reductase (ec:1.1.1.81))"	1
"(Nicotinate and nicotinamide metabolism (map00760), reductase (ec:1.3.7.1))"	1
"(Retinol metabolism (map00830), 13,14-reductase (ec:1.3.99.23))"	1
"(Isoquinoline alkaloid biosynthesis (map00950), decarboxylase (ec:4.1.1.28))"	1
"(Phenylalanine, tyrosine and tryptophan biosynthesis (map00400), dehydrogenase (quinone) (ec:1.1.5.8))"	1
"(Cysteine and methionine metabolism (map00270), sulfurtransferase (ec:2.8.1.2))"	1
"(Aminobenzoate degradation (map00627), 4,5-dioxygenase (ec:1.13.11.8))"	1
"(Fatty acid elongation (map00062), hydrolase (ec:3.1.2.22))"	1
"(mTOR signaling pathway (map04150), protein kinase (ec:2.7.11.9))"	1
"(Inositol phosphate metabolism (map00562), 5-keto-2-deoxygluconokinase (ec:2.7.1.92))"	1
"(Pyruvate metabolism (map00620), synthase (ec:1.2.7.1))"	1
"(Cysteine and methionine metabolism (map00270), dioxygenase (Ni2+-requiring) (ec:1.13.11.53))"	1
"(Phenylalanine, tyrosine and tryptophan biosynthesis (map00400), dehydrogenase (ec:1.3.1.43))"	1
"(Drug metabolism - other enzymes (map00983), deaminase (ec:3.5.4.5))"	1
"(Tyrosine metabolism (map00350), decarboxylase (ec:4.1.1.68))"	1
"(Porphyrin and chlorophyll metabolism (map00860), reductase (NADPH) (ec:1.16.1.5))"	1
"(Phosphatidylinositol signaling system (map04070), 5-kinase (ec:2.7.1.150))"	1
"(Phenylalanine, tyrosine and tryptophan biosynthesis (map00400), 4-monooxygenase (ec:1.14.16.1))"	1
"(Terpenoid backbone biosynthesis (map00900), 2,4-cyclodiphosphate synthase (ec:4.6.1.12))"	1
"(Sphingolipid metabolism (map00600), aldolase (ec:4.1.2.27))"	1
"(Butanoate metabolism (map00650), dehydratase (ec:4.2.1.55))"	1
"(Pantothenate and CoA biosynthesis (map00770), kinase (ec:2.7.1.33))"	1
"(Isoquinoline alkaloid biosynthesis (map00950), monophenol monooxygenase (ec:1.14.18.1))"	1
"(Benzoate degradation (map00362), 4,5-dioxygenase (ec:1.13.11.8))"	1
"(Arginine and proline metabolism (map00330), arginine amidinase (ec:3.5.3.1))"	1
"(Streptomycin biosynthesis (map00521), 4,6-dehydratase (ec:4.2.1.46))"	1
"(Ubiquinone and other terpenoid-quinone biosynthesis (map00130), reductase (warfarin-sensitive) (ec:1.1.4.1))"	1
"(Arachidonic acid metabolism (map00590), peroxidase (ec:1.11.1.9))"	1
"(Toluene degradation (map00623), dehydrogenase (NAD+) (ec:1.2.1.28))"	1
"(Purine metabolism (map00230), diphosphate phosphatase (ec:3.6.1.6))"	1
"(Cysteine and methionine metabolism (map00270), synthase (ec:2.5.1.22))"	1
"(Amino sugar and nucleotide sugar metabolism (map00520), 4,6-dehydratase (ec:4.2.1.76))"	1
"(D-Arginine and D-ornithine metabolism (map00472), racemase (ec:5.1.1.10))"	1
"(Arginine and proline metabolism (map00330), dihydrolase (ec:3.5.3.23))"	1
"(Tryptophan metabolism (map00380), reductase (NADPH) (ec:1.1.1.191))"	1
"(Fructose and mannose metabolism (map00051), phosphotransferase (ec:2.7.1.69))"	1
"(Aminobenzoate degradation (map00627), phosphatase (ec:3.1.3.1))"	1
"(Sphingolipid metabolism (map00600), phosphodiesterase D (ec:3.1.4.41))"	1
"(Steroid biosynthesis (map00100), oxidase (ec:1.14.21.6))"	1
"(Lysine degradation (map00310), dehydrogenase (ec:1.5.99.3))"	1
